id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16377541,"Central and cosy, freshly renovated apartment",107272189,Irine,,Favoriten,48.18028111282909,16.37726328867275,Entire home/apt,48,2,47,2019-01-09,1.83,2,70
16380147,Charming & secluded home in the heart of Vienna,1424777,Ela,,Innere Stadt,48.20814987292228,16.37172269669767,Shared room,110,2,105,2019-02-05,4.09,1,67
16385542,Gmiatliche Übernachtung in 2m Höhe,107333928,Laura,,Mariahilf,48.19547248515812,16.34338021004787,Private room,50,3,1,2017-01-05,0.04,1,0
16385680,Studio in City Center of Vienna,2690305,Nicola,,Wieden,48.19075399309758,16.37220707734388,Entire home/apt,70,2,8,2017-12-10,0.31,1,362
16386224,"Modern, cozy appartment near Naschmarkt",26540758,Miriam,,Margareten,48.185847114820525,16.359078535006244,Entire home/apt,40,2,2,2017-08-11,0.11,1,0
16387341,Super location- spacious & bright flat,2313454,Sarah,,Margareten,48.18908826672736,16.358289594334327,Entire home/apt,60,3,4,2019-01-03,0.15,1,177
16389756,gemütliche 3-Zimmerwohnung in Toplage,107363491,Kathrin,,Simmering,48.16981949965556,16.42038354136552,Entire home/apt,36,10,0,,,1,0
16399411,Charming & central apartment,100332738,Alexandra,,Margareten,48.19391618316327,16.356408059429675,Entire home/apt,59,3,29,2018-02-20,1.13,1,0
16399432,My sweet home :),19532799,Tal,,Neubau,48.204774968111494,16.350502601397015,Entire home/apt,66,2,16,2019-01-01,1.53,1,0
16401489,Modern and Central Apt. incl. NETFLIX & POPCORN :),107450086,Martin,,Landstra§e,48.20288579001598,16.390303853322063,Entire home/apt,59,1,190,2019-02-05,7.36,4,242
16402590,Amazing 3 bedroom apt in great central location,104510031,Marcelo,,Josefstadt,48.208441274126066,16.354261658617506,Entire home/apt,66,2,0,,,2,0
16405954,Apartment Löhr 12 - nice apartment in the city,10281621,Boris,,Rudolfsheim-Fnfhaus,48.200336557020364,16.335532859755514,Entire home/apt,35,1,74,2019-01-24,2.88,10,316
16406162,Central full-service 1.5-room-apartment,13933819,Kati,,Brigittenau,48.23089262093329,16.371982354136026,Entire home/apt,53,3,3,2018-08-30,0.13,3,203
16410929,Big Apartment Close To City Center,107531948,Carina,,Mariahilf,48.19377527366954,16.34792726099273,Entire home/apt,215,2,10,2019-01-01,0.45,1,29
16411857,"Modern Apartment in Vienna, Close to Center",107541815,Andreas,,Neubau,48.205680937867314,16.350754166185215,Entire home/apt,100,2,2,2017-01-03,0.08,1,0
16414067,Charming Room in Wien near U4/U6 Underground!,107561967,Conor,,Rudolfsheim-Fnfhaus,48.18923067717832,16.333971790826286,Private room,29,3,213,2019-02-04,8.23,2,24
16414648,Cosy room in Wien near U4/U6 underground central,107561967,Conor,,Rudolfsheim-Fnfhaus,48.19096227066915,16.33391537972431,Private room,24,3,198,2019-02-05,7.61,2,52
16421212,#34 Cube 70-OpenSpace - für 2 Personen,107636008,Petra,,Ottakring,48.207893169320386,16.32294701036037,Entire home/apt,78,1,20,2019-01-04,0.90,30,360
16421507,#25 Cube 70-OpenSpace - für 4 Personen,107636008,Petra,,Ottakring,48.20796052446472,16.324204083853605,Entire home/apt,98,1,16,2018-12-27,0.74,30,361
16423045,Stylish Roof Top Apartment with City View,107653837,Ilona,,Margareten,48.186222677993754,16.354365075101043,Entire home/apt,120,2,72,2018-12-31,2.97,1,58
16423359,Sunny Room in The Heart of Vienna’s City Center,70993449,Nelly,,Josefstadt,48.21028868163751,16.353483672423735,Private room,45,3,3,2017-05-28,0.12,1,0
16425473,"Direct to center, free parking, quiet, bicycles",107671091,Egon,,Dbling,48.25826025187788,16.367418510331202,Entire home/apt,50,1,3,2018-12-16,0.29,1,90
16426010,"COSY 30m², 5 min walk to metro to OPERA&NASCHMARKT",26937716,Simin & JP,,Brigittenau,48.22774947373462,16.366828547370915,Entire home/apt,35,3,128,2019-01-20,4.99,2,327
16432188,"Classic 19th Century, central & quiet (26)",29494065,Norbert,,Hernals,48.220080885380476,16.330038647770017,Entire home/apt,40,3,12,2018-09-14,0.47,12,39
16432330,"Stylish, big room - shared flat. 20' from centre.",33962613,Simon,,Whring,48.22862803073902,16.33210470698378,Private room,30,2,3,2018-08-31,0.12,1,0
16432592,DMG Apartments Hotel Single room with balcony 404,107743301,DMG Apartments,,Margareten,48.18442840690023,16.35645253243995,Entire home/apt,55,1,13,2019-01-02,0.71,14,345
16433955,DMG Apartments Hotel Room with kitchenette 401,107743301,DMG Apartments,,Margareten,48.182323742429034,16.357481712235984,Entire home/apt,75,1,10,2018-12-30,0.45,14,361
16434120,DMG Apartments Hotel Room with kitchenette 402,107743301,DMG Apartments,,Margareten,48.18401474351576,16.35724023231006,Entire home/apt,75,1,1,2017-10-02,0.06,14,180
16434154,Cosy artistic flat near city center / Clowns' flat,2764320,Borislav & Aneta,,Mariahilf,48.190367708502286,16.339272495345874,Entire home/apt,29,1,153,2019-01-30,5.97,4,287
16434769,DMG Apartments Hotel Room Standard Double Bed 403,107743301,DMG Apartments,,Margareten,48.18410499883727,16.357862713835296,Entire home/apt,65,1,56,2019-01-04,3.10,14,172
16435010,DMG Apartments Hotel Comfort Double Room 405,107743301,DMG Apartments,,Margareten,48.181846138326,16.357414327037404,Entire home/apt,130,1,3,2018-12-30,0.13,14,170
16435128,DMG Apartments Hotel Room Standard Twin Beds 406,107743301,DMG Apartments,,Margareten,48.182092800402216,16.355854158199108,Entire home/apt,65,1,22,2019-01-04,2.01,14,158
16435707,DMG Apartments Hotel Room Standard Double Bed 407,107743301,DMG Apartments,,Margareten,48.18263260745388,16.357373367638193,Entire home/apt,65,1,12,2018-12-27,0.67,14,158
16436202,DMG Apartments Hotel Room with kitchenette 408,107743301,DMG Apartments,,Margareten,48.18321552079972,16.35816689884779,Entire home/apt,75,1,11,2018-12-30,0.62,14,163
16436327,DMG Apartments Hotel Single Room 501,107743301,DMG Apartments,,Margareten,48.18342738973322,16.356411727719916,Entire home/apt,50,1,21,2018-11-03,1.06,14,152
